component, qty, cost, why, source
MG90S 9g Servo 180 degree, 12, $37, movement, https://robu.in/product/mg90s-9g-servo-metal-gear/
Luckfox Lyra Zero W, 1, $41, to run tripod gait algorithm , https://robu.in/product/luckfox-lyra-zero-w-micro-linux-development-board/
PCA9685 16 Channel Servo Motor Driver, 1, $5 (w shipping), servo control, https://robocraze.com/products/pca9685-16-channel-servo-motor-driversoldered
ESP32 DevKit V1, 1, $7.4, motor control, https://www.amazon.in/Edge-Electronix-ESP32-DevKit-Microcontroller/dp/B0GSZ97X5B
Li-Po Battery 3S 2200 mAh, 1, $20.3, power, https://robocraze.com/products/bonka-2200mah-35c-3s1p-11-1v-lipo-battery
5V 3A BEC, 1, $2, regulated power, https://robu.in/product/ultra-small-size-dc-dc-5v-3a-bec-power-supply-buck-step-down-module/
XL4016 DC 10A 300W Step Down Buck Converter, 1, $6, regulate power to servos, https://www.amazon.in/INFINITY-XL4016-Converter-1-2-35V-Function/dp/B0CSK7L7PS
HGLRC ELRS 2.4G ELRS Receiver, 1, $17.7, to connect to the elrs transmitter, https://robocraze.com/products/hglrc-elrs-2-4g-receiver
30CM Servo Extension Cable Pack of 10, 1, $3.4, to connect servo to the dev board, https://www.amazon.in/30CM-Servo-Extension-Cable-Pack/dp/B0FBLG72DJ
KCD1 Rocker Switch, 2, $2, turn on and off, https://www.amazon.in/Universal-KCD1-104-Plastic-Appliances-Electronics/dp/B0GSGN9X2M
2200uF 25V Electrolytic Capacitors, 5, $2, absorb servo spikes, https://www.amazon.in/Electrolytic-Capacitors-Cylindrical-Decoupling-Electronics/dp/B0H2ZD612B
3d printed parts, as per stl folder, $18, existence, print legion
M2 X 6mm Hex, 60, $3, secure stuff, https://onlyscrews.in/products/m2-x-6mm-hex-allen-csk-high-tensile10-9-black-oxide-screw-dia-3mm-length-6mm?variant=51454752850233
M2 X 10mm Hex, 60, $3, secure stuff, https://onlyscrews.in/products/m2-x-10mm-hex-allen-csk-high-tensile10-9-black-oxide-screw-dia-2mm-length-10mm?variant=51454802297145
screw shipping, 1, $2, receive screws, https://onlyscrews.in/cart
Jumper Wires Kit, 1, $3, connect stuff, https://www.amazon.in/Tishvi-Jumper-120pcs-Multicolored-Dupont/dp/B0G4GXTVLG
Solder Wire, 1, $4.6, strengthen connections?, https://www.amazon.in/GREENARTZ-Soldering-core-Aluminium-Copper/dp/B0BNLQX91R
Flux, 1, $4.4, let solder flow, https://www.amazon.in/SCHOFIC-No-clean-Halogen-free-Soldering-Electronics/dp/B0F4RKKKX7
Total, -, $193, -, -
